縣市,監測站名稱,空管區
基隆市,基隆,北部空品區
新北市,汐止,北部空品區
新北市,萬里,北部空品區
新北市,新店,北部空品區
新北市,土城,北部空品區
新北市,板橋,北部空品區
新北市,新莊,北部空品區
新北市,菜寮,北部空品區
新北市,林口,北部空品區
新北市,淡水,北部空品區
臺北市,士林,北部空品區
臺北市,中山,北部空品區
臺北市,萬華,北部空品區
臺北市,古亭,北部空品區
臺北市,松山,北部空品區
臺北市,大同,北部空品區
桃園市,桃園,北部空品區
桃園市,大園,北部空品區
桃園市,觀音,北部空品區
桃園市,平鎮,北部空品區
桃園市,龍潭,北部空品區
新竹縣,湖口,竹苗空品區
新竹縣,竹東,竹苗空品區
新竹市,新竹,竹苗空品區
苗栗縣,頭份,竹苗空品區
苗栗縣,苗栗,竹苗空品區
苗栗縣,三義,竹苗空品區
臺中市,豐原,中部空品區
臺中市,沙鹿,中部空品區
臺中市,大里,中部空品區
臺中市,忠明,中部空品區
臺中市,西屯,中部空品區
彰化縣,彰化,中部空品區
彰化縣,線西,中部空品區
彰化縣,二林,中部空品區
南投縣,南投,中部空品區
雲林縣,斗六,雲嘉南空品區
雲林縣,崙背,雲嘉南空品區
嘉義縣,新港,雲嘉南空品區
嘉義縣,朴子,雲嘉南空品區
雲林縣,臺西,雲嘉南空品區
嘉義市,嘉義,雲嘉南空品區
臺南市,新營,雲嘉南空品區
臺南市,善化,雲嘉南空品區
臺南市,安南,雲嘉南空品區
臺南市,臺南,雲嘉南空品區
高雄市,美濃,高屏空品區
高雄市,橋頭,高屏空品區
高雄市,仁武,高屏空品區
高雄市,鳳山,高屏空品區
高雄市,大寮,高屏空品區
高雄市,林園,高屏空品區
高雄市,楠梓,高屏空品區
高雄市,左營,高屏空品區
高雄市,前金,高屏空品區
高雄市,前鎮,高屏空品區
高雄市,小港,高屏空品區
屏東縣,屏東,高屏空品區
屏東縣,潮州,高屏空品區
屏東縣,恆春,高屏空品區
臺東縣,臺東,花東空品區
花蓮縣,花蓮,花東空品區
臺北市,陽明,北部空品區
宜蘭縣,宜蘭,宜蘭空品區
宜蘭縣,冬山,宜蘭空品區
新北市,三重,北部空品區
桃園市,中壢,北部空品區
南投縣,竹山,中部空品區
新北市,永和,北部空品區
高雄市,復興,高屏空品區
南投縣,埔里,中部空品區
連江縣,馬祖,其他
金門縣,金門,其他
澎湖縣,馬公,其他
臺東縣,關山,花東空品區
雲林縣,麥寮,雲嘉南空品區
新北市,富貴角,北部空品區
